CustomerID,FirstName,LastName,StreetAddress,City,State,ZipCode,Telephone
88,Customer88,Last88,88 Main St,City88,OH,44088,555-0088
89,Customer89,Last89,89 Main St,City89,OH,44089,555-0089
90,Customer90,Last90,90 Main St,City90,OH,44090,555-0090
91,Customer91,Last91,91 Main St,City91,OH,44091,555-0091
92,Customer92,Last92,92 Main St,City92,OH,44092,555-0092
93,Customer93,Last93,93 Main St,City93,OH,44093,555-0093
94,Customer94,Last94,94 Main St,City94,OH,44094,555-0094
95,Customer95,Last95,95 Main St,City95,OH,44095,555-0095
96,Customer96,Last96,96 Main St,City96,OH,44096,555-0096
97,Customer97,Last97,97 Main St,City97,OH,44097,555-0097
98,Customer98,Last98,98 Main St,City98,OH,44098,555-0098
99,Customer99,Last99,99 Main St,City99,OH,44099,555-0099
100,Customer100,Last100,100 Main St,City100,OH,44100,555-0100
